SubboroID,Shape_Leng,Shape_Area,SubboroNam,NUMPOINTS
1,62869.97162,117967850.33400,Mott Haven/Hunts Point,2246
2,68829.18075,122267489.21700,Morrisania/East Tremont,1857
3,35396.03804,49937746.32420,Highbridge/S.Concourse,1306
4,63648.47563,47515799.67890,Univ.Heights/Fordham,1203
5,53732.05677,46922024.39590,Kings Heights/Mosholu,1137
6,52083.12446,99160734.55800,Riverdale/Kingsbridge,560
7,55475.91206,119849598.50500,Soundview/Parkchester,1608
8,215312.19678,264423704.40200,Throgs Neck/Co-op City,884
9,47949.36628,106142156.08200,Pelham Parkway,833
10,104270.67573,189351382.99300,Williamsbridge/Baychester,1058
11,55522.20905,119881091.99800,Williamsburg/Greenpoint,889
12,78120.18425,90200787.41790,Brooklyn Heights/Fort Greene,1380
13,44757.16561,64036262.46400,Bedford Stuyvesant,1572
14,44817.81835,70535376.90990,Bushwick,1036
15,88283.88738,165946043.07800,East New York/Starret City,1732
16,80103.20967,112791642.13200,Park Slope/Carroll Gardens,706
17,76456.69690,116348608.65200,Sunset Park,669
18,42385.80440,61986195.38900,N.Crown Heights/Pros.Heights,1523
19,35016.05867,47618734.68140,South Crown Heights,1046
20,46627.32132,108470322.52600,Bay Ridge,596
21,44047.32625,97047259.62970,Bensonhurst,911
22,51109.35274,87681055.66900,Borough Park,414
23,91337.55170,101522416.06100,Coney Island,854
24,49976.95630,81049378.32330,Flatbush,802
25,76021.60358,123724921.55400,Sheepshead Bay/Gravesend,613
26,44943.78358,72193950.91360,Brownsville/Ocean Hill,1978
27,50487.92540,84662487.02710,East Flatbush,1354
28,264346.84152,399144725.32800,Flatlands/Canarsie,1411
29,189467.38949,87124214.41090,Green.Village/Fin.District,1016
30,32973.09066,48605167.57900,L.East Side/Chinatown,1215
31,39809.19750,80793607.04360,Chelsea/Clinton/Midtown,2164
32,39429.68047,45715430.95930,Stuy.Town/Turtle Bay,688
33,58213.12514,93755380.88030,Upper West Side,1243
34,54378.24028,56364640.37290,Upper East Side,502
35,34440.25453,37315829.21770,Morning.Heights/Hamilton Heights,1126
36,42974.90656,40725870.94980,Central Harlem,1602
37,58239.37320,64344976.90160,East Harlem,1362
38,73265.32674,86253064.34670,Washington Heights/Inwood,1254
39,73164.97053,142952185.81200,Astoria,1347
40,82939.06277,175581492.41000,Sunnyside/Woodside,883
41,61241.52764,111754668.67800,Jackson Heights,851
42,92533.41712,111526822.43700,Elmhurst/Corona,474
43,71304.10602,204443585.53100,Middle Village/Ridgewood,1024
44,39010.08573,79832680.56090,Forest Hill/Rego Park,361
45,111044.75220,322026469.81500,Flushing/Whitestone,1119
46,82185.14015,209463208.68200,Hillcrest/Fresh Madows,646
47,57277.61350,133982587.94100,Kew Gardens/Woodhaven,917
48,108483.00482,179041006.99200,Howard Beach/S.Ozone Park,900
49,87450.67328,255125897.61700,Bayside/Little Neck,356
50,72172.53137,258082190.04600,Jamaica,1904
51,196312.71032,545600356.38900,Bellerose/Rosedale,1053
52,170620.82514,220117868.39600,Rockaways,1142
53,110253.84856,385545127.27100,North Shore,2349
54,149717.79458,616011881.67400,Mid Island,1015
55,167147.63526,648875687.09300,South Shore,908
