SubboroID,2014uc,SubboroID
1,19768.0,1
2,26431.0,2
3,32600.0,3
4,29675.0,4
5,38237.0,5
6,17895.0,6
7,15335.0,7
8,3759.0,8
9,15261.0,9
10,10585.0,10
11,17324.0,11
12,13332.0,12
13,8741.0,13
14,10516.0,14
15,5089.0,15
16,6834.0,16
17,10067.0,17
18,17817.0,18
19,23732.0,19
20,12867.0,20
21,15867.0,21
22,12080.0,22
23,9896.0,23
24,31746.0,24
25,12896.0,25
26,8330.0,26
27,14576.0,27
28,3110.0,28
29,19181.0,29
30,19538.0,30
31,37494.0,31
32,25182.0,32
33,28618.0,33
34,23066.0,34
35,20193.0,35
36,23610.0,36
37,13121.0,37
38,50128.0,38
39,25673.0,39
40,18698.0,40
41,12810.0,41
42,15308.0,42
43,8416.0,43
44,13076.0,44
45,16169.0,45
46,13580.0,46
47,6016.0,47
48,800.0,48
49,2950.0,49
50,8860.0,50
51,2007.0,51
52,6159.0,52
53,5036.0,53
54,573.0,54
55,1358.0,55
